,instrumentalness,valence,total_words,duration_min,key_0,key_6,key_10,key_11,mode_minor,mode_major,class
116,0.0,0.717,261,3.68,0.0,0.0,0.0,0.0,0.0,1.0,0
117,0.000112,0.586,352,3.74,0.0,0.0,0.0,0.0,0.0,1.0,1
118,1.1e-05,0.658,253,3.68,0.0,0.0,0.0,0.0,0.0,1.0,1
119,0.0,0.255,308,3.43,1.0,0.0,0.0,0.0,0.0,1.0,1
120,1.58e-05,0.383,360,3.76,0.0,0.0,0.0,0.0,1.0,0.0,1
121,0.0,0.209,317,4.06,0.0,0.0,0.0,0.0,1.0,0.0,1
122,0.000817,0.444,148,1.59,0.0,0.0,0.0,1.0,1.0,0.0,1
123,0.131,0.521,66,1.05,0.0,0.0,0.0,1.0,1.0,0.0,1
124,0.00304,0.826,197,1.42,0.0,1.0,0.0,0.0,0.0,1.0,1
125,0.182,0.597,113,1.39,0.0,1.0,0.0,0.0,1.0,0.0,1
126,0.646,0.443,148,1.75,0.0,0.0,0.0,0.0,0.0,1.0,1
127,0.535,0.279,122,1.85,1.0,0.0,0.0,0.0,0.0,1.0,1
128,0.147,0.308,124,1.64,0.0,0.0,0.0,0.0,0.0,1.0,1
129,0.197,0.606,201,2.7,1.0,0.0,0.0,0.0,0.0,1.0,1
130,4.71e-06,0.498,216,3.22,0.0,0.0,0.0,0.0,0.0,1.0,0
131,5.01e-05,0.682,370,4.38,0.0,0.0,0.0,0.0,1.0,0.0,1
132,0.00207,0.554,243,3.32,0.0,0.0,0.0,0.0,0.0,1.0,1
133,0.0,0.671,307,3.37,1.0,0.0,0.0,0.0,0.0,1.0,0
134,0.0,0.661,211,2.18,0.0,0.0,0.0,0.0,0.0,1.0,0
135,3.1e-06,0.668,196,2.05,0.0,0.0,0.0,0.0,1.0,0.0,0
136,0.0,0.514,526,4.28,0.0,0.0,0.0,1.0,1.0,0.0,0
137,0.00154,0.329,197,3.37,0.0,0.0,0.0,1.0,1.0,0.0,0
138,2.34e-06,0.505,216,3.22,0.0,0.0,0.0,0.0,0.0,1.0,0
139,0.000168,0.507,306,3.1,0.0,0.0,0.0,0.0,1.0,0.0,1
140,0.0,0.621,685,4.43,0.0,0.0,0.0,0.0,0.0,1.0,1
