,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_words,unique_words,duration_min,key_0,key_1,key_2,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_minor,mode_major,time_signature_3,time_signature_4,time_signature_5,class
61,0.533,0.949,-3.43,0.0388,0.000747,1.92e-06,0.254,0.534,107.919,321,178,3.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
62,0.583,0.922,-3.843,0.0387,0.0192,3.19e-05,0.614,0.4,101.989,170,77,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
63,0.378,0.961,-3.069,0.0892,0.00152,4.87e-06,0.189,0.727,178.064,308,145,3.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
64,0.42,0.949,-3.902,0.0823,0.0196,0.0,0.284,0.594,163.945,308,126,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
65,0.451,0.909,-3.633,0.0644,0.0111,0.0,0.66,0.363,146.894,331,144,4.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
66,0.547,0.939,-3.587,0.0532,0.00222,1.89e-05,0.587,0.437,133.969,350,129,3.57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
67,0.574,0.965,-4.444,0.0737,0.000573,0.000377,0.51,0.632,136.038,267,108,3.86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
68,0.486,0.928,-3.492,0.0464,0.00931,0.0,0.111,0.593,160.04,260,101,3.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,pre-hiatus
69,0.609,0.772,-4.298,0.032,0.0113,2.74e-06,0.358,0.535,120.055,363,123,3.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
70,0.443,0.755,-4.259,0.0379,0.0053,0.0,0.194,0.774,172.061,341,137,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,pre-hiatus
